arc,frame,u,v,conf,err_px
0,88,855.8029350104822,496.05870020964363,177.21835645379866,2.3902175347632664
0,89,876.5859030837005,496.39867841409693,175.61458349227905,2.8969112417825174
0,90,897.1252747252747,497.23736263736265,178.2395805252923,2.0239097318270454
0,91,915.9342857142857,497.7685714285714,126.825926038954,2.4049099435810075
0,92,935.9418604651163,499.7325581395349,119.34949187194408,2.0754429632684115
0,93,954.3089005235602,501.5052356020942,162.76065187280125,1.7619901386358956
0,94,973.0561224489796,503.4515306122449,146.27078538008683,1.0916608908560732
0,95,990.3301587301587,504.7142857142857,108.3824567292866,2.1074703060672
0,96,1009.0337078651686,508.29213483146066,188.11217492258447,0.7086672823021082
0,97,1024.9921465968587,510.75130890052355,186.31943905542767,1.038082725596739
0,98,1041.3359580052493,513.6666666666666,176.44454345129486,2.132325851757155
0,99,1057.0280898876404,516.7780898876405,176.11219910598788,2.3198046930534177
0,100,1072.8398791540785,519.7945619335347,166.69213093651666,1.6730096560465777
0,101,1087.7915057915059,522.1776061776062,204.83654129810824,2.186681846054179
0,102,1102.4,524.4222222222222,192.19444861778848,4.84933494231073
0,103,1118.1363636363637,531.465034965035,131.85125427246092,1.0159012536806808
0,104,1132.4195804195804,536.1363636363636,160.3790796528692,0.9601643073403108
0,105,1145.629893238434,540.2241992882563,152.88746354281142,1.8139589804585832
0,106,1159.0631578947368,544.8526315789474,156.43477866716702,1.481258729534705
0,107,1171.8687943262412,549.436170212766,150.91303902940678,1.5693242278977404
0,108,1184.741134751773,554.7163120567376,151.5792853704194,1.3095289047657237
0,109,1197.1821305841925,554.4948453608248,141.6231931603473,1.516133911476464
0,110,1209.7560137457044,546.4054982817869,143.6925823448948,1.6130607619273818
0,111,1221.7482014388488,538.841726618705,126.13501088297339,1.7054608947485974
0,112,1231.8010204081634,532.219387755102,96.77450741038602,1.4307017643538986
0,113,1244.4146341463415,521.4146341463414,55.120917027292684,3.6328365621384844
0,114,1255.6666666666667,515.060606060606,58.5042728521885,4.158918415587364
0,115,1266.8666666666666,508.3333333333333,62.97916889190674,3.837823457233184
0,116,1281.7103448275861,503.53793103448277,73.51470274083755,2.9978430613048714
0,117,1288.7032967032967,499.88461538461536,107.58359218160433,1.1541731614066197
0,118,1297.247619047619,495.1142857142857,84.33791233943059,2.891382144052854
0,119,1309.5507246376812,487.0,76.72449080798091,3.33172614058001
0,120,1318.6615384615384,482.95384615384614,58.13839435577393,3.327240980809621
0,121,1328.8035714285713,478.55357142857144,64.31868333082933,3.648192871065059
1,173,597.8087167070217,554.7021791767554,116.2431777491714,1.3118415252689162
1,174,576.6395061728396,564.358024691358,108.8530290777033,1.6810826016620586
1,175,556.0272952853599,573.8560794044665,108.60937166213989,2.144094343203087
1,176,535.6876574307305,583.9068010075566,114.0812853733307,1.1369441136912088
1,177,514.7844611528822,584.0726817042606,123.65619684034777,0.9520379279366351
1,178,494.58438287153655,577.1360201511335,114.8008029076361,1.9097535114387434
1,179,476.2704402515723,570.9465408805031,100.13294001988002,1.0876185204940518
1,180,453.40458015267177,562.6145038167939,63.727679456983296,1.4433588512960267
1,181,433.30324909747293,556.4187725631768,67.97500047229585,1.610043546641044
1,182,412.6666666666667,550.8911564625851,77.02546490563287,2.2117109914591535
1,183,392.79872204472844,545.7220447284345,84.29977232298701,2.413925666624411
