t,x,y,z,conf
0.002,0.20855948072994557,0.0019547719358358386,0.3048532247595742,18.708286933869708
0.008,0.244161349323749,0.0021417620270361027,0.3095254770309023,18.33030277982336
0.017,0.2985132023799757,0.0023302241158771895,0.31602823229079735,19.390719429665317
0.025,0.34613785790639684,0.002386996974913719,0.3203389851128081,20.346989949375804
0.033,0.3929294702964503,0.0025160127750047155,0.32469332506026305,21.494185260204677
0.041,0.43899291923872374,0.002569581877980981,0.32788155048859047,25.80697580112788
0.049,0.48550176215734075,0.002649814189828072,0.3296846028133269,27.568097504180443
0.057,0.5326839731881381,0.0025872741184724225,0.3308960734743225,27.110883423451916
0.065,0.5790312841772727,0.0022093718529041756,0.33216383503608793,28.142494558940577
0.07300000000000001,0.6251032572391446,0.0027465009682436006,0.33099124117813916,26.720778431774775
0.081,0.6709775878623571,0.0028233874181338545,0.3298763821875627,25.099800796022265
0.08900000000000001,0.716637650632808,0.0027424761238821977,0.3276129017877971,22.627416997969522
0.097,0.7620357014010146,0.0024574933708738965,0.32459925767204495,17.86057109949175
0.10500000000000001,0.8059694359687263,0.0034926623108894983,0.32025635636488925,12.68857754044952
0.113,0.8518055188064597,0.0029280050715417717,0.3162869846862879,10.677078252031311
0.12100000000000001,0.8968668295568132,0.003017601384747745,0.31017967028137094,10.908712114635714
0.129,0.9401502390424481,0.0024443041493038276,0.3033273871375006,9.219544457292887
0.137,0.9846707776191224,0.002710630664079213,0.29646112819749015,10.908712114635714
0.14500000000000002,1.0290095964410506,0.0024401777672058496,0.2883519378520905,9.797958971132712
0.153,1.0727591652655717,0.002960302063037266,0.279449973611421,11.313708498984761
0.161,1.1159868525410535,0.002804314487764329,0.2701419980767773,10.099504938362077
0.169,1.1591651250796335,0.0035644162275529786,0.2597234788906425,10.392304845413264
0.17700000000000002,1.2015966279566692,0.0034026284118032542,0.24886095876010983,10.677078252031311
0.185,1.2432152342457905,0.002783033264825126,0.23705560478856597,12.12435565298214
0.193,1.2863443329773685,0.0034953223629371954,0.2245020305613562,8.717797887081348
0.201,1.3278946077133345,0.003251847513608989,0.2110473472521469,11.832159566199232
0.20900000000000002,1.3700691153805402,0.0033334740890954098,0.1966681695976854,10.0
0.21700000000000003,1.410613962614239,0.003764500556578491,0.18179797326446884,8.717797887081348
0.225,1.4526485501833055,0.003457447536162053,0.16533602172732637,9.486832980505138
0.233,1.493568587771104,0.0036399390367801393,0.1480786405074111,16.492422502470642
0.24100000000000002,1.5338125062913686,0.0039018337758205453,0.13163123737571875,25.787593916455254
0.24900000000000003,1.5750810232044765,0.003653555577455098,0.1127710486664582,26.40075756488817
0.257,1.6139282431100632,0.003735883896288962,0.09452762057688907,25.079872407968907
0.265,1.6540663233996433,0.0037205827486976395,0.07411937771182237,25.612496949731394
0.273,1.6936148002100317,0.0036458129490420524,0.05438359071853438,25.748786379167466
0.281,1.7323049152504608,0.003821371783810515,0.03308699305546248,25.92296279363144
