t,u,v,npix,nsharp
0.005,106.41176470588235,294.6617647058824,68,0
0.013,115.32352941176471,293.52941176470586,68,0
0.021000000000000005,124.37878787878788,292.469696969697,66,0
0.029,132.72857142857143,291.74285714285713,70,0
0.037000000000000005,141.78571428571428,290.92857142857144,70,1
0.045,150.46575342465752,290.6986301369863,73,4
0.053000000000000005,159.3108108108108,289.9864864864865,74,7
0.061000000000000006,167.9189189189189,289.97297297297297,74,8
0.069,176.41333333333333,289.9066666666667,75,7
0.07700000000000001,184.97222222222223,290.05555555555554,72,7
0.085,193.53424657534248,290.7671232876712,73,4
0.093,202.01408450704224,290.9577464788732,71,0
0.101,210.5,291.85714285714283,70,0
0.109,219.0793650793651,292.6190476190476,63,0
0.117,227.41538461538462,293.5230769230769,65,0
0.125,235.78125,294.796875,64,0
0.133,243.984126984127,295.87301587301585,63,0
0.14100000000000001,252.0909090909091,297.3787878787879,66,0
0.14900000000000002,260.44615384615383,299.0153846153846,65,0
0.157,268.5846153846154,300.6,65,0
0.165,276.5074626865672,302.4925373134328,67,0
0.17300000000000001,284.5074626865672,304.4925373134328,67,0
0.18100000000000002,292.53125,306.640625,64,0
0.189,300.3787878787879,309.030303030303,66,0
0.197,308.4,311.4769230769231,65,0
0.20500000000000002,316.1746031746032,314.04761904761904,63,0
0.21300000000000002,323.8253968253968,316.76190476190476,63,0
0.221,331.54545454545456,319.75757575757575,66,0
0.229,339.5074626865672,323.07462686567163,67,0
0.23700000000000002,347.0933333333333,326.29333333333335,75,4
0.24500000000000002,354.4186046511628,329.40697674418607,86,9
0.253,361.7931034482759,332.7816091954023,87,12
0.261,369.3888888888889,336.4111111111111,90,11
0.269,376.7142857142857,340.17857142857144,84,9
0.277,384.0681818181818,344.0,88,13
0.28500000000000003,391.6235294117647,347.0235294117647,85,10
0.29300000000000004,399.8222222222222,344.85555555555555,90,5
0.30100000000000005,408.27472527472526,341.7802197802198,91,4
0.309,416.9431818181818,338.77272727272725,88,5
0.317,425.3804347826087,336.04347826086956,92,5
0.325,434.02298850574715,333.44827586206895,87,7
0.333,442.04395604395603,331.0769230769231,91,7
0.341,450.5777777777778,328.94444444444446,90,8
0.34900000000000003,458.85,326.85,80,5
0.35700000000000004,467.05128205128204,325.05128205128204,78,2
0.36500000000000005,475.44444444444446,323.22222222222223,72,0
0.373,483.69117647058823,321.30882352941177,68,0
0.381,491.8030303030303,319.8939393939394,66,0
0.389,499.95522388059703,318.55223880597015,67,0
0.397,508.0,317.34328358208955,67,0
0.405,516.2205882352941,316.36764705882354,68,0
0.41300000000000003,524.1911764705883,315.63235294117646,68,0
0.42100000000000004,532.1343283582089,314.92537313432837,67,0
0.42900000000000005,540.2285714285714,314.2142857142857,70,0
0.437,548.0,314.0,69,0
0.445,555.8507462686567,313.8358208955224,67,0
0.453,563.7727272727273,313.90909090909093,66,0
0.461,571.5,313.8857142857143,70,0
0.46900000000000003,579.2816901408451,313.92957746478874,71,0
0.47700000000000004,587.1,314.0571428571429,70,0
0.48500000000000004,594.6521739130435,314.81159420289856,69,0
0.49300000000000005,602.463768115942,315.28985507246375,69,0
