t,x,y,z,conf
0.005,0.2272305603036585,0.0025601252730986083,0.3075116530261726,3.3166247903554
0.013,0.2751971078756714,0.00209616397984288,0.31390074287068725,3.4641016151377544
0.021000000000000005,0.32359003132818454,0.0021753985499109747,0.3195259829331887,3.4641016151377544
0.029,0.3682088851013592,0.002448282824142596,0.323618520501782,3.4641016151377544
0.037000000000000005,0.4163797680887905,0.002679437323965531,0.32721120757483557,4.242640687119285
0.045,0.4631398675440319,0.0025085647618919146,0.3294686841587693,8.366600265340756
0.053000000000000005,0.510018921221764,0.002798114058361934,0.3318465890384713,14.142135623730951
0.061000000000000006,0.5562823469434054,0.0027230709898305562,0.3326708369343371,17.233687939614086
0.069,0.6016765172392855,0.002795610515824382,0.3328682596140131,16.492422502470642
0.07700000000000001,0.647446099327742,0.002852370773920604,0.3320128895560802,16.24807680927192
0.085,0.6933578278124024,0.002886651662946314,0.32869667214788245,12.84523257866513
0.093,0.7383656018427854,0.003502813487677279,0.3265973373008,5.385164807134504
0.101,0.784287412260506,0.0024116612497526936,0.32310606544550946,4.898979485566356
0.109,0.8298850715215949,0.0029993264647336423,0.31809543876361773,4.795831523312719
0.117,0.8745212783595782,0.0033551583812699045,0.3137162382991749,4.123105625617661
0.125,0.9193557137474029,0.0027341925517413252,0.3067064897426547,4.123105625617661
0.133,0.9630900896018206,0.0033946069164468226,0.3006080774123619,4.0
0.14100000000000001,1.006632398143156,0.0027589147920264938,0.29295411744784433,4.0
0.14900000000000002,1.0514071699356493,0.0022392171949256762,0.2842735114323171,4.0
0.157,1.0947450699194927,0.0032785071689911552,0.27519322086780734,4.123105625617661
0.165,1.1373571706343644,0.0027535762213425456,0.26602553032801646,4.358898943540674
0.17300000000000001,1.179988589535258,0.0030399103966004524,0.2544361606313989,4.358898943540674
0.18100000000000002,1.2231263751269206,0.00301203021262225,0.24405882364719828,4.47213595499958
0.189,1.2650328265607156,0.003447975967709074,0.23081587483911714,4.358898943540674
0.197,1.3079629418839884,0.0034928744720344766,0.21771695677357866,4.358898943540674
0.20500000000000002,1.3496924362495841,0.003431877683053282,0.20464183706253986,4.358898943540674
0.21300000000000002,1.3906419556972331,0.003471665085004386,0.19011752944268911,4.123105625617661
0.221,1.4319384868805929,0.0035354588333464266,0.1739330794934733,4.123105625617661
0.229,1.474690204011623,0.0034436848520600213,0.15701225268411328,4.358898943540674
0.23700000000000002,1.5156891057098894,0.0038619687674001832,0.14191902767781384,8.06225774829855
0.24500000000000002,1.5550551464139581,0.0029078052797105137,0.12678902098483358,8.366600265340756
0.253,1.5949440847143759,0.002425873821020683,0.11171632368201512,3.605551275463989
